,0
aa,2.0
aaa,2.0
aaaa,2.0
aaaaa,1.0
aaaaaaaa,1.0
aaaaaaaaaaa,1.0
aaaaaaaaaahhhhhhhh,1.0
aaaaaaaaaamaz,2.0
aaaaaaaafternoon,1.0
aaaaaaaahhhhhhhh,1.0
aaaaaah,2.0
aaaaaahhhhhhhh,1.0
aaaaaawwwesom,1.0
aaaaahhhh,2.0
aaaaall,1.0
aaaaand,1.0
aaaaaoouoouoouu,1.0
aaaaarrrrggghhh,1.0
aaaaaw,1.0
aaaaawhh,1.0
aaaaawwwwwww,1.0
aaaagggessss,1.0
aaaagh,1.0
aaaah,6.0
aaaahh,1.0
aaaahhhh,1.0
aaaaiieee,1.0
aaaand,2.0
aaaargh,1.0
aaaau,1.0
aaaaw,1.0
aaaawww,1.0
aaaawwww,1.0
aaah,5.0
aaahaha,1.0
aaahh,1.0
aaahhh,3.0
aaahhhh,2.0
aaand,1.0
aaargh,1.0
aaarrrgggghhh,1.0
aaarrrggghhh,1.0
aaarrrgh,1.0
aaass,2.0
aaauuuggghhh,1.0
aaaw,2.0
aaaww,2.0
aaawww,2.0
aaberg,1.0
aac,1.0
aaggh,1.0
aah,8.0
aahh,1.0
aahhg,1.0
aahhh,2.0
aahhhh,1.0
aannndd,1.0
aapko,1.0
aarg,1.0
aargh,2.0
aaron,7.0
aaronovitch,1.0
aarrgghh,1.0
aasahan,1.0
aasman,1.0
aatw,1.0
aawh,1.0
aawww,1.0
ab,8.0
aba,1.0
ababa,1.0
abalon,1.0
aban,1.0
abandon,13.0
abang,1.0
abba,1.0
abbey,2.0
abbi,7.0
abbrevi,2.0
abbster,1.0
abc,5.0
abdo,1.0
abduct,1.0
abduzzeedo,1.0
abean,1.0
aber,2.0
aberdeen,2.0
abhi,1.0
abhor,1.0
abi,3.0
abid,3.0
abil,10.0
abit,6.0
abl,139.0
ableton,4.0
abnorm,1.0
abo,1.0
aboard,2.0
abomin,1.0
abound,1.0
about,1247.0
abouttttto,1.0
abov,17.0
abp,1.0
abram,2.0
abroad,2.0
absenc,4.0
absent,2.0
absolut,66.0
absolutley,2.0
absolutli,3.0
absolv,1.0
absoulut,1.0
absoulutley,1.0
absout,1.0
abstract,1.0
absurd,2.0
abt,27.0
abuelo,1.0
abueltia,1.0
abund,1.0
abundantli,1.0
abus,7.0
abuzz,2.0
ac,22.0
acaaaaaab,1.0
acab,1.0
acaba,1.0
acaban,1.0
academ,5.0
academi,9.0
acai,1.0
acara,1.0
acc,5.0
accadent,2.0
accc,1.0
accdentt,1.0
