Trends in Number of COVID-19 Vaccinations in the US,,,,,,,,,,,,,
Date generated: Sun Oct 10 2021 15:21:44 GMT+0800 (中国标准时间),,,,,,,,,,,,,
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020/12/13,US,,,,,,,0,0,,,
Admin,2020/12/14,US,4231,4106,22656,19949,9975,11328,,,87,3190,1595
Report,2020/12/14,US,,,,,,,509,255,,,
Admin,2020/12/15,US,48890,46311,71546,66260,22087,23848,,,168,3358,1119
Report,2020/12/15,US,,,,,,,12129,4213,,,
Admin,2020/12/16,US,160153,153331,231699,219591,54898,57924,,,342,3700,925
Report,2020/12/16,US,,,,,,,38996,12909,,,
Admin,2020/12/17,US,272985,263251,504684,482842,96568,100936,,,529,4229,845
Report,2020/12/17,US,,,,,,,75708,25468,,,
Admin,2020/12/18,US,415237,403632,919921,886474,147746,153320,,,889,5118,853
Report,2020/12/18,US,,,,,,,126800,42357,,,
Admin,2020/12/19,US,181395,176646,1101316,1063120,151874,157330,,,921,6039,862
Report,2020/12/19,US,,,,,,,187508,63093,,,
Admin,2020/12/20,US,104884,102105,1206200,1165225,164197,169682,,,598,6637,504
Report,2020/12/20,US,,,,,,,209853,93072,,,
Admin,2020/12/21,US,381337,373367,1587537,1538592,216949,223554,,,1094,7731,648
Report,2020/12/21,US,,,,,,,149957,114422,,,
Admin,2020/12/22,US,447709,438928,2035246,1977520,273037,280528,,,2333,10064,958
Report,2020/12/22,US,,,,,,,189722,139792,,,
Admin,2020/12/23,US,571194,559243,2606440,2536763,331025,339248,,,1900,11964,1180
Report,2020/12/23,US,,,,,,,368173,186817,,,
Admin,2020/12/24,US,195195,190023,2801635,2726786,320563,328135,,,838,12802,1224
Report,2020/12/24,US,,,,,,,338436,224350,,,
Admin,2020/12/25,US,12494,12368,2814129,2739154,264669,270601,,,79,12881,1109
Report,2020/12/25,US,,,,,,,336145,254256,,,
